size, dupes, statements
57, 18, 2549
57, 19, 2357
57, 20, 2813
57, 21, 3461
57, 22, 3073
57, 23, 2849
57, 24, 3593
57, 25, 3509
57, 26, 3257
57, 27, 3801
57, 28, 3881
57, 29, 3613
57, 30, 4441
57, 31, 4057
57, 32, 4193
57, 33, 3957
57, 34, 4141
57, 35, 4665
57, 36, 4773
57, 37, 4453
57, 38, 4989
57, 39, 4809
57, 40, 4545
57, 41, 5713
57, 42, 5661
57, 43, 5537
57, 44, 5669
57, 45, 6077
57, 46, 5629
57, 47, 6001
57, 48, 6117
57, 49, 6125
57, 50, 6261
57, 51, 6653
57, 52, 6685
57, 53, 6853
57, 54, 6669
57, 55, 6845
57, 56, 7073
57, 57, 7073
58, 1, 441
58, 2, 437
58, 3, 797
58, 4, 793
58, 5, 845
58, 6, 1109
58, 7, 917
58, 8, 1349
58, 9, 1577
58, 10, 1629
58, 11, 1921
58, 12, 1857
58, 13, 2081
58, 14, 2133
58, 15, 2337
58, 16, 2417
58, 17, 2409
58, 18, 2873
58, 19, 2613
58, 20, 2353
58, 21, 2597
58, 22, 3161
58, 23, 3333
58, 24, 3429
58, 25, 3417
58, 26, 3113
58, 27, 3701
58, 28, 3073
58, 29, 4241
58, 30, 4217
58, 31, 4173
58, 32, 4101
58, 33, 4233
58, 34, 4317
58, 35, 4629
58, 36, 4549
58, 37, 4149
58, 38, 5421
58, 39, 5081
58, 40, 5249
58, 41, 5337
58, 42, 5877
58, 43, 5489
58, 44, 5841
58, 45, 5661
58, 46, 6081
58, 47, 6705
58, 48, 6113
58, 49, 6321
58, 50, 6345
58, 51, 6573
58, 52, 6545
58, 53, 6733
58, 54, 6977
58, 55, 6945
58, 56, 7153
58, 57, 7313
58, 58, 7313
59, 1, 285
59, 2, 653
59, 3, 869
59, 4, 833
59, 5, 797
59, 6, 1329
59, 7, 945
59, 8, 1441
59, 9, 1657
59, 10, 1333
59, 11, 1669
59, 12, 2061
59, 13, 1969
59, 14, 2205
59, 15, 2261
59, 16, 2549
59, 17, 2617
59, 18, 2549
59, 19, 2877
59, 20, 2729
59, 21, 3205
59, 22, 3153
59, 23, 3241
59, 24, 3465
59, 25, 3061
59, 26, 3301
59, 27, 3709
59, 28, 3801
59, 29, 3973
59, 30, 4001
59, 31, 4141
59, 32, 4477
59, 33, 4505
59, 34, 4217
59, 35, 4609
59, 36, 5245
59, 37, 4885
59, 38, 5329
59, 39, 5169
59, 40, 5657
59, 41, 5625
59, 42, 5533
59, 43, 5477
59, 44, 5941
59, 45, 6061
59, 46, 5785
59, 47, 6601
59, 48, 6425
59, 49, 6337
59, 50, 6521
59, 51, 6537
59, 52, 7077
59, 53, 6801
59, 54, 6985
59, 55, 7209
59, 56, 7297
59, 57, 7549
59, 58, 7557
59, 59, 7557
60, 1, 381
60, 2, 645
60, 3, 473
60, 4, 645
60, 5, 589
60, 6, 1113
60, 7, 1485
60, 8, 1593
60, 9, 1745
60, 10, 2017
60, 11, 1713
60, 12, 1777
60, 13, 2073
60, 14, 2317
60, 15, 2385
60, 16, 1961
60, 17, 2781
60, 18, 3001
60, 19, 2669
60, 20, 2473
60, 21, 3437
60, 22, 3825
60, 23, 2413
60, 24, 3337
60, 25, 3445
60, 26, 4061
60, 27, 3725
60, 28, 4169
60, 29, 3933
60, 30, 3937
60, 31, 3981
60, 32, 4269
60, 33, 4669
60, 34, 4861
60, 35, 4857
60, 36, 4609
60, 37, 5049
60, 38, 4837
60, 39, 5161
60, 40, 5305
60, 41, 5513
60, 42, 5577
60, 43, 5869
60, 44, 6345
60, 45, 5929
60, 46, 5817
60, 47, 6485
60, 48, 6137
60, 49, 6625
60, 50, 6681
60, 51, 6877
60, 52, 7033
60, 53, 7013
60, 54, 7153
60, 55, 7225
60, 56, 7425
60, 57, 7629
60, 58, 7585
60, 59, 7805
60, 60, 7805
61, 1, 405
61, 2, 725
61, 3, 557
61, 4, 1049
61, 5, 773
61, 6, 1101
61, 7, 1217
61, 8, 1293
61, 9, 1869
61, 10, 1617
61, 11, 2061
61, 12, 1713
61, 13, 2161
61, 14, 2873
61, 15, 2653
61, 16, 2617
61, 17, 2585
61, 18, 2641
61, 19, 3053
61, 20, 3161
61, 21, 3125
61, 22, 3385
61, 23, 3601
61, 24, 3521
61, 25, 3121
61, 26, 3573
61, 27, 4165
61, 28, 3853
61, 29, 4169
61, 30, 4145
61, 31, 4473
61, 32, 4377
61, 33, 5057
61, 34, 4549
61, 35, 5277
61, 36, 4961
61, 37, 4925
61, 38, 5169
61, 39, 4957
61, 40, 5301
61, 41, 5645
61, 42, 5673
61, 43, 5753
61, 44, 6457
61, 45, 6129
61, 46, 6585
61, 47, 5957
61, 48, 6449
61, 49, 7081
61, 50, 7033
61, 51, 6793
61, 52, 7121
61, 53, 7317
61, 54, 7309
61, 55, 7469
61, 56, 7629
61, 57, 7789
61, 58, 7701
61, 59, 8045
61, 60, 8057
61, 61, 8057
62, 1, 421
62, 2, 573
62, 3, 873
62, 4, 637
62, 5, 945
62, 6, 745
62, 7, 1113
62, 8, 1409
62, 9, 1805
62, 10, 1797
62, 11, 1637
62, 12, 1685
62, 13, 2341
62, 14, 2297
62, 15, 2389
62, 16, 2465
62, 17, 2385
62, 18, 2901
62, 19, 3181
62, 20, 2965
62, 21, 2969
62, 22, 2961
62, 23, 3569
62, 24, 3725
62, 25, 3337
62, 26, 4269
62, 27, 4129
62, 28, 3853
62, 29, 3769
62, 30, 4733
62, 31, 4377
62, 32, 4545
62, 33, 4613
62, 34, 4581
62, 35, 5181
62, 36, 5321
62, 37, 5025
62, 38, 5473
62, 39, 5189
62, 40, 5545
62, 41, 5985
62, 42, 5629
62, 43, 6129
62, 44, 6305
62, 45, 5661
62, 46, 6429
62, 47, 6741
62, 48, 6565
62, 49, 6641
62, 50, 7165
62, 51, 7101
62, 52, 7081
62, 53, 7469
62, 54, 7181
62, 55, 7585
62, 56, 7389
62, 57, 7985
62, 58, 7761
62, 59, 8177
62, 60, 8117
62, 61, 8313
62, 62, 8313
63, 1, 341
63, 2, 669
63, 3, 793
63, 4, 969
63, 5, 1141
63, 6, 913
63, 7, 1061
63, 8, 1297
63, 9, 1525
63, 10, 1741
63, 11, 1681
63, 12, 1921
63, 13, 1745
63, 14, 2445
63, 15, 1945
63, 16, 2069
63, 17, 2421
63, 18, 3193
63, 19, 2945
63, 20, 2829
63, 21, 3261
63, 22, 3697
63, 23, 3373
63, 24, 3645
63, 25, 3489
63, 26, 3585
63, 27, 3893
63, 28, 3869
63, 29, 4121
63, 30, 3869
63, 31, 4149
63, 32, 4549
63, 33, 4333
63, 34, 5173
63, 35, 4649
63, 36, 5317
63, 37, 5569
63, 38, 5337
63, 39, 5205
63, 40, 5317
63, 41, 5773
63, 42, 5449
63, 43, 5641
63, 44, 5649
63, 45, 6197
63, 46, 6021
63, 47, 6649
63, 48, 6829
63, 49, 6745
63, 50, 6861
63, 51, 7061
63, 52, 7485
63, 53, 7073
63, 54, 7701
63, 55, 7945
63, 56, 7929
63, 57, 8169
63, 58, 8257
63, 59, 8109
63, 60, 8093
63, 61, 8481
63, 62, 8573
63, 63, 8573
64, 1, 385
64, 2, 477
64, 3, 981
64, 4, 617
64, 5, 1029
64, 6, 1173
64, 7, 1385
64, 8, 1625
64, 9, 1589
64, 10, 1921
64, 11, 1901
64, 12, 2209
64, 13, 1961
64, 14, 2369
64, 15, 1913
64, 16, 2697
64, 17, 2341
64, 18, 2549
64, 19, 2601
64, 20, 3237
64, 21, 3025
64, 22, 3473
64, 23, 3125
64, 24, 3781
64, 25, 3697
64, 26, 4221
64, 27, 3977
64, 28, 3681
64, 29, 4189
64, 30, 4885
64, 31, 4745
64, 32, 4533
64, 33, 4597
64, 34, 4765
64, 35, 5137
64, 36, 5225
64, 37, 5477
64, 38, 5973
64, 39, 5521
64, 40, 6217
64, 41, 5721
64, 42, 6077
64, 43, 6205
64, 44, 5525
64, 45, 5897
64, 46, 6601
64, 47, 6325
64, 48, 6741
64, 49, 6845
64, 50, 6945
64, 51, 7361
64, 52, 7201
64, 53, 7737
64, 54, 7397
64, 55, 7785
64, 56, 7945
64, 57, 7941
64, 58, 8537
64, 59, 8233
64, 60, 8461
64, 61, 8589
64, 62, 8737
64, 63, 8837
64, 64, 8837
65, 1, 329
65, 2, 721
65, 3, 1077
65, 4, 861
65, 5, 1109
65, 6, 1141
65, 7, 1465
65, 8, 1145
65, 9, 1509
65, 10, 2061
65, 11, 1909
65, 12, 2405
65, 13, 2433
65, 14, 2473
65, 15, 2305
65, 16, 2533
65, 17, 2861
65, 18, 2733
65, 19, 2633
65, 20, 3449
65, 21, 3301
65, 22, 3301
65, 23, 3689
65, 24, 3821
65, 25, 3473
65, 26, 4297
65, 27, 4145
65, 28, 4277
65, 29, 4369
65, 30, 4973
65, 31, 4533
65, 32, 4769
65, 33, 4617
65, 34, 5321
65, 35, 5669
65, 36, 5001
65, 37, 5221
65, 38, 5565
65, 39, 6081
65, 40, 5821
65, 41, 6049
65, 42, 6241
65, 43, 6141
65, 44, 6357
65, 45, 6865
65, 46, 6661
65, 47, 6537
65, 48, 6741
65, 49, 6929
65, 50, 6969
65, 51, 7497
65, 52, 7869
65, 53, 7465
65, 54, 7637
65, 55, 7765
65, 56, 8257
65, 57, 8445
65, 58, 8197
65, 59, 8273
65, 60, 8681
65, 61, 8665
65, 62, 8745
65, 63, 8949
65, 64, 9105
65, 65, 9105
66, 1, 345
66, 2, 505
66, 3, 697
66, 4, 1025
66, 5, 997
66, 6, 817
66, 7, 1485
66, 8, 1601
66, 9, 1421
66, 10, 1565
66, 11, 2065
66, 12, 1833
66, 13, 2373
66, 14, 2425
66, 15, 2453
66, 16, 2197
66, 17, 2481
66, 18, 2925
66, 19, 3165
66, 20, 2689
66, 21, 3085
66, 22, 3425
66, 23, 3449
66, 24, 3921
66, 25, 3833
66, 26, 4309
66, 27, 3825
66, 28, 4461
66, 29, 4493
66, 30, 4601
66, 31, 4769
66, 32, 5569
66, 33, 4641
66, 34, 4933
66, 35, 5493
66, 36, 6229
66, 37, 5585
66, 38, 5937
66, 39, 5953
66, 40, 5617
66, 41, 6337
66, 42, 6041
66, 43, 6253
66, 44, 6761
66, 45, 6733
66, 46, 7345
66, 47, 7349
66, 48, 6957
66, 49, 7181
66, 50, 7485
66, 51, 7897
66, 52, 7305
66, 53, 7725
66, 54, 7693
66, 55, 8025
66, 56, 7689
66, 57, 8109
66, 58, 8321
66, 59, 8397
66, 60, 8477
66, 61, 8581
66, 62, 9105
66, 63, 9053
66, 64, 9361
66, 65, 9377
66, 66, 9377
67, 1, 445
67, 2, 821
67, 3, 901
67, 4, 865
67, 5, 1229
67, 6, 1393
67, 7, 1173
67, 8, 1449
67, 9, 1505
67, 10, 1573
67, 11, 1825
67, 12, 2321
67, 13, 2569
67, 14, 2277
67, 15, 2585
67, 16, 2741
67, 17, 2345
67, 18, 3201
67, 19, 3625
67, 20, 3373
67, 21, 3405
67, 22, 4121
67, 23, 3661
67, 24, 3733
67, 25, 4173
67, 26, 3701
67, 27, 4573
67, 28, 3545
67, 29, 3997
67, 30, 4857
67, 31, 4917
67, 32, 5077
67, 33, 5581
67, 34, 5301
67, 35, 5481
67, 36, 5037
67, 37, 6165
67, 38, 6013
67, 39, 5997
67, 40, 6101
67, 41, 5721
67, 42, 6681
67, 43, 6397
67, 44, 6577
67, 45, 6673
67, 46, 6341
67, 47, 6685
67, 48, 7853
67, 49, 7061
67, 50, 6785
67, 51, 6785
67, 52, 7565
67, 53, 7953
67, 54, 8237
67, 55, 7989
67, 56, 7765
67, 57, 8093
67, 58, 8365
67, 59, 8793
67, 60, 8621
67, 61, 8993
67, 62, 9193
67, 63, 9221
67, 64, 9565
67, 65, 9537
67, 66, 9653
67, 67, 9653
68, 1, 489
68, 2, 465
68, 3, 1249
68, 4, 877
68, 5, 1425
68, 6, 1321
68, 7, 1489
68, 8, 1673
68, 9, 1737
68, 10, 1849
68, 11, 2093
68, 12, 2077
68, 13, 2445
68, 14, 2089
68, 15, 2349
68, 16, 3277
68, 17, 2581
68, 18, 3121
68, 19, 2841
68, 20, 3025
68, 21, 3413
68, 22, 3561
68, 23, 3897
68, 24, 3529
68, 25, 4317
68, 26, 4101
68, 27, 4101
68, 28, 4881
68, 29, 4701
68, 30, 4457
68, 31, 5033
68, 32, 4845
68, 33, 5169
68, 34, 5077
68, 35, 5057
68, 36, 5905
68, 37, 5477
68, 38, 6161
68, 39, 6161
68, 40, 6101
68, 41, 6269
68, 42, 6149
68, 43, 6709
68, 44, 6981
68, 45, 6777
68, 46, 6757
68, 47, 7017
68, 48, 7425
68, 49, 7641
68, 50, 7265
68, 51, 7589
68, 52, 7405
68, 53, 7853
68, 54, 8381
68, 55, 8197
68, 56, 8697
68, 57, 8437
68, 58, 8817
68, 59, 8749
68, 60, 9373
68, 61, 9009
68, 62, 9057
68, 63, 9457
68, 64, 9453
68, 65, 9721
68, 66, 9745
68, 67, 9933
68, 68, 9933
69, 1, 385
69, 2, 649
69, 3, 981
69, 4, 1269
69, 5, 1485
69, 6, 1245
69, 7, 1681
69, 8, 1693
69, 9, 1509
69, 10, 1677
69, 11, 2257
69, 12, 2025
69, 13, 2389
69, 14, 2437
69, 15, 2821
69, 16, 2465
69, 17, 2469
69, 18, 3533
69, 19, 3069
69, 20, 3605
69, 21, 4001
69, 22, 3769
69, 23, 3677
69, 24, 3853
69, 25, 3961
69, 26, 4181
69, 27, 4925
69, 28, 4537
69, 29, 3613
69, 30, 4161
69, 31, 5489
69, 32, 5085
69, 33, 5233
69, 34, 5949
69, 35, 5393
69, 36, 5933
69, 37, 5385
69, 38, 6309
69, 39, 6185
69, 40, 5961
69, 41, 6621
69, 42, 6561
69, 43, 6437
69, 44, 6205
69, 45, 6913
69, 46, 7029
69, 47, 7149
69, 48, 6973
69, 49, 7677
69, 50, 7553
69, 51, 7445
69, 52, 7841
69, 53, 7661
69, 54, 8517
69, 55, 8757
69, 56, 8909
69, 57, 8753
69, 58, 8249
69, 59, 9225
69, 60, 9073
69, 61, 8997
69, 62, 9181
69, 63, 9221
69, 64, 9549
69, 65, 9961
69, 66, 10013
69, 67, 10141
69, 68, 10217
69, 69, 10217
70, 1, 445
70, 2, 773
70, 3, 1261
70, 4, 733
70, 5, 917
70, 6, 1461
70, 7, 1485
70, 8, 1769
70, 9, 1409
70, 10, 1705
70, 11, 1733
70, 12, 2509
70, 13, 2737
70, 14, 2233
70, 15, 2677
70, 16, 2493
70, 17, 2937
70, 18, 2997
70, 19, 2869
70, 20, 4037
70, 21, 3145
70, 22, 3541
70, 23, 3557
70, 24, 4089
70, 25, 4253
70, 26, 3865
70, 27, 4397
70, 28, 4849
70, 29, 4569
70, 30, 4521
70, 31, 4933
70, 32, 5129
70, 33, 4757
70, 34, 5217
70, 35, 5509
70, 36, 5281
70, 37, 5373
70, 38, 6177
70, 39, 5725
70, 40, 6573
70, 41, 6565
70, 42, 6505
70, 43, 6705
70, 44, 6857
70, 45, 6889
70, 46, 7813
70, 47, 7053
70, 48, 7709
70, 49, 7329
70, 50, 7157
70, 51, 7389
70, 52, 8321
70, 53, 7657
70, 54, 8301
70, 55, 8673
70, 56, 8753
70, 57, 8909
70, 58, 8869
70, 59, 9125
70, 60, 9205
70, 61, 8937
70, 62, 9593
70, 63, 9581
70, 64, 9601
70, 65, 9945
70, 66, 10241
70, 67, 10325
70, 68, 10281
70, 69, 10505
70, 70, 10505
71, 1, 505
71, 2, 1053
71, 3, 445
71, 4, 765
71, 5, 1105
71, 6, 1057
71, 7, 1325
71, 8, 1713
71, 9, 1917
71, 10, 1945
71, 11, 2433
71, 12, 2233
71, 13, 1853
71, 14, 2633
71, 15, 2785
71, 16, 2893
71, 17, 2229
71, 18, 3321
71, 19, 3177
71, 20, 3165
71, 21, 3321
71, 22, 4165
71, 23, 3997
71, 24, 3633
71, 25, 4513
71, 26, 5333
71, 27, 4149
71, 28, 4717
71, 29, 5101
71, 30, 4897
71, 31, 5281
71, 32, 4581
71, 33, 5413
71, 34, 5697
71, 35, 5309
71, 36, 6837
71, 37, 6525
71, 38, 5937
71, 39, 6045
71, 40, 6549
71, 41, 6445
71, 42, 6665
71, 43, 6705
71, 44, 7585
71, 45, 7365
71, 46, 7033
71, 47, 7061
71, 48, 7353
71, 49, 7205
71, 50, 7385
71, 51, 7861
71, 52, 7925
71, 53, 8101
71, 54, 8289
71, 55, 8633
71, 56, 8457
71, 57, 8417
71, 58, 9081
71, 59, 9233
71, 60, 9485
71, 61, 9485
71, 62, 9541
71, 63, 9925
71, 64, 9749
71, 65, 9793
71, 66, 10477
71, 67, 10297
71, 68, 10709
71, 69, 10633
71, 70, 10797
71, 71, 10797
72, 1, 337
72, 2, 433
72, 3, 781
72, 4, 1009
72, 5, 961
72, 6, 1277
72, 7, 1413
72, 8, 1457
72, 9, 1773
72, 10, 2105
72, 11, 2173
72, 12, 2329
72, 13, 2589
72, 14, 2813
72, 15, 2845
72, 16, 2901
72, 17, 2933
72, 18, 3125
72, 19, 3585
72, 20, 3213
72, 21, 3977
72, 22, 3909
72, 23, 3341
72, 24, 4053
72, 25, 3993
72, 26, 4857
72, 27, 4225
72, 28, 4601
72, 29, 4257
72, 30, 4641
72, 31, 6001
72, 32, 5377
72, 33, 4821
72, 34, 5761
72, 35, 5701
72, 36, 5313
72, 37, 5693
72, 38, 5649
72, 39, 6309
72, 40, 6269
72, 41, 6629
72, 42, 6365
72, 43, 7337
72, 44, 6905
72, 45, 6653
72, 46, 7005
72, 47, 7449
72, 48, 8089
72, 49, 7969
72, 50, 7893
72, 51, 7877
72, 52, 8505
72, 53, 8189
72, 54, 8685
72, 55, 8873
72, 56, 8333
72, 57, 9197
72, 58, 9385
72, 59, 8973
72, 60, 9541
72, 61, 9365
72, 62, 9869
72, 63, 9757
72, 64, 9861
72, 65, 10117
72, 66, 10377
72, 67, 10389
72, 68, 10989
72, 69, 10689
72, 70, 10969
72, 71, 11093
72, 72, 11093
73, 1, 381
73, 2, 717
73, 3, 961
73, 4, 869
73, 5, 1033
73, 6, 1197
73, 7, 1813
73, 8, 1357
73, 9, 2145
73, 10, 2037
73, 11, 2041
73, 12, 2217
73, 13, 2477
73, 14, 2681
73, 15, 3089
73, 16, 3077
73, 17, 3097
73, 18, 3517
73, 19, 3485
73, 20, 3981
73, 21, 4133
73, 22, 3825
73, 23, 3585
73, 24, 3881
73, 25, 4549
73, 26, 4485
73, 27, 5305
73, 28, 4477
73, 29, 4709
73, 30, 4653
73, 31, 4637
73, 32, 5493
73, 33, 5633
73, 34, 5565
73, 35, 5985
73, 36, 5773
73, 37, 6561
73, 38, 6489
73, 39, 6421
73, 40, 6617
73, 41, 5941
73, 42, 7129
73, 43, 6773
73, 44, 7273
73, 45, 7829
73, 46, 6917
73, 47, 7201
73, 48, 8373
73, 49, 7653
73, 50, 7701
73, 51, 7493
73, 52, 7925
73, 53, 8173
73, 54, 8137
73, 55, 8637
73, 56, 9405
73, 57, 9101
73, 58, 9245
73, 59, 9765
73, 60, 9421
73, 61, 9777
73, 62, 9693
73, 63, 10485
73, 64, 10573
73, 65, 10301
73, 66, 10149
73, 67, 10549
73, 68, 11017
73, 69, 10961
73, 70, 11089
73, 71, 11185
73, 72, 11393
73, 73, 11393
74, 1, 429
74, 2, 685
74, 3, 1209
74, 4, 1357
74, 5, 993
74, 6, 1353
74, 7, 1277
74, 8, 1825
74, 9, 1509
74, 10, 1941
74, 11, 1813
74, 12, 2285
74, 13, 2809
74, 14, 2597
74, 15, 2709
74, 16, 3021
74, 17, 2861
74, 18, 3697
74, 19, 3553
74, 20, 3565
74, 21, 3745
74, 22, 4157
74, 23, 3537
74, 24, 4217
74, 25, 4081
74, 26, 4521
74, 27, 5013
74, 28, 4397
74, 29, 4725
74, 30, 5169
74, 31, 6197
74, 32, 4865
74, 33, 5345
74, 34, 5229
74, 35, 5857
74, 36, 5721
74, 37, 6401
74, 38, 6565
74, 39, 6009
74, 40, 7265
74, 41, 7017
74, 42, 6757
74, 43, 6913
74, 44, 7417
74, 45, 6781
74, 46, 7333
74, 47, 7589
74, 48, 7173
74, 49, 8305
74, 50, 8525
74, 51, 8721
74, 52, 9309
74, 53, 8697
74, 54, 8673
74, 55, 9137
74, 56, 9257
74, 57, 9345
74, 58, 9153
74, 59, 9313
74, 60, 9561
74, 61, 9985
74, 62, 10197
74, 63, 10641
74, 64, 10321
74, 65, 10337
74, 66, 10681
74, 67, 10881
74, 68, 11065
74, 69, 11037
74, 70, 11169
74, 71, 11213
74, 72, 11521
74, 73, 11697
74, 74, 11697
75, 1, 329
75, 2, 549
75, 3, 769
75, 4, 1073
75, 5, 1165
75, 6, 1389
75, 7, 1965
75, 8, 1869
75, 9, 2253
75, 10, 2209
75, 11, 2389
75, 12, 2493
75, 13, 2329
75, 14, 2977
75, 15, 2697
75, 16, 3121
75, 17, 3013
75, 18, 2701
75, 19, 4233
75, 20, 3753
75, 21, 3617
75, 22, 4185
75, 23, 4393
75, 24, 4557
75, 25, 4365
75, 26, 5245
75, 27, 4425
75, 28, 4765
75, 29, 5209
75, 30, 5401
75, 31, 5465
75, 32, 5749
75, 33, 6609
75, 34, 6045
75, 35, 6313
75, 36, 6501
75, 37, 6657
75, 38, 6753
75, 39, 6589
75, 40, 6981
75, 41, 7497
75, 42, 6609
75, 43, 7357
75, 44, 7221
75, 45, 6905
75, 46, 7033
75, 47, 8057
75, 48, 7885
75, 49, 7649
75, 50, 8201
75, 51, 7897
75, 52, 8585
75, 53, 8653
75, 54, 8545
75, 55, 8805
75, 56, 9049
75, 57, 9629
75, 58, 9781
75, 59, 9501
75, 60, 9477
75, 61, 9777
75, 62, 10413
75, 63, 10321
75, 64, 10241
75, 65, 10669
75, 66, 10661
75, 67, 10993
75, 68, 10725
75, 69, 11325
75, 70, 11437
75, 71, 11349
75, 72, 11801
75, 73, 11805
75, 74, 12005
75, 75, 12005
76, 1, 537
76, 2, 709
76, 3, 857
76, 4, 969
76, 5, 1705
76, 6, 1261
76, 7, 1353
76, 8, 2109
76, 9, 1505
76, 10, 2105
76, 11, 2257
76, 12, 2441
76, 13, 1857
76, 14, 2909
76, 15, 3005
76, 16, 2773
76, 17, 3101
76, 18, 2893
76, 19, 3213
76, 20, 3553
76, 21, 4325
76, 22, 3669
76, 23, 3613
76, 24, 3977
76, 25, 4141
76, 26, 4833
76, 27, 4525
76, 28, 5153
76, 29, 4941
76, 30, 5517
76, 31, 5609
76, 32, 5145
76, 33, 5605
76, 34, 5777
76, 35, 6053
76, 36, 6585
76, 37, 6213
76, 38, 6181
76, 39, 6781
76, 40, 6261
76, 41, 6241
76, 42, 6917
76, 43, 6753
76, 44, 7833
76, 45, 8009
76, 46, 7545
76, 47, 7033
76, 48, 7909
76, 49, 8425
76, 50, 8277
76, 51, 8201
76, 52, 8609
76, 53, 9061
76, 54, 8733
76, 55, 9353
76, 56, 9553
76, 57, 9661
76, 58, 9621
76, 59, 9557
76, 60, 10049
76, 61, 10509
76, 62, 10317
76, 63, 10261
76, 64, 10641
76, 65, 11001
76, 66, 10729
76, 67, 11057
76, 68, 11477
76, 69, 11497
76, 70, 11077
76, 71, 11733
76, 72, 12077
76, 73, 12085
76, 74, 12073
76, 75, 12317
76, 76, 12317
77, 1, 437
77, 2, 1013
77, 3, 917
77, 4, 1229
77, 5, 1157
77, 6, 1373
77, 7, 1689
77, 8, 1561
77, 9, 1817
77, 10, 2029
77, 11, 2077
77, 12, 2637
77, 13, 2909
77, 14, 3061
77, 15, 3049
77, 16, 3269
77, 17, 3317
77, 18, 3401
77, 19, 2901
77, 20, 3801
77, 21, 4021
77, 22, 4337
77, 23, 3809
77, 24, 4257
77, 25, 4453
77, 26, 4881
77, 27, 4673
77, 28, 5257
77, 29, 5449
77, 30, 5405
77, 31, 5989
77, 32, 6177
77, 33, 5561
77, 34, 5881
77, 35, 5641
77, 36, 6269
77, 37, 6025
77, 38, 6469
77, 39, 7461
77, 40, 7001
77, 41, 7777
77, 42, 7381
77, 43, 7193
77, 44, 7849
77, 45, 7949
77, 46, 7509
77, 47, 7593
77, 48, 7229
77, 49, 7817
77, 50, 8665
77, 51, 8413
77, 52, 8705
77, 53, 8585
77, 54, 9201
77, 55, 8961
77, 56, 9657
77, 57, 9125
77, 58, 9261
77, 59, 9813
77, 60, 10145
77, 61, 10609
77, 62, 11145
77, 63, 10669
77, 64, 10493
77, 65, 10917
77, 66, 10777
77, 67, 10781
77, 68, 11257
77, 69, 11781
77, 70, 11633
77, 71, 11673
77, 72, 12041
77, 73, 12057
77, 74, 12321
77, 75, 12457
77, 76, 12633
77, 77, 12633
78, 1, 625
78, 2, 617
78, 3, 509
78, 4, 1457
78, 5, 1753
78, 6, 1753
78, 7, 1213
78, 8, 1813
78, 9, 1829
78, 10, 2605
78, 11, 2221
78, 12, 2629
78, 13, 2529
78, 14, 2825
78, 15, 2557
78, 16, 3381
78, 17, 3109
78, 18, 3509
78, 19, 3713
78, 20, 3897
78, 21, 4317
78, 22, 3817
78, 23, 3601
78, 24, 4689
78, 25, 4597
78, 26, 4477
78, 27, 5365
78, 28, 4981
78, 29, 4301
78, 30, 5253
78, 31, 4953
78, 32, 5137
78, 33, 5741
78, 34, 5841
78, 35, 5889
78, 36, 6181
78, 37, 6549
78, 38, 7049
78, 39, 7017
78, 40, 7197
78, 41, 8613
78, 42, 6869
78, 43, 7109
78, 44, 7409
78, 45, 7769
78, 46, 8373
78, 47, 8221
78, 48, 8549
78, 49, 8313
78, 50, 8505
78, 51, 8861
78, 52, 9109
78, 53, 9201
78, 54, 9161
78, 55, 9181
78, 56, 8997
78, 57, 9685
78, 58, 9985
78, 59, 10581
78, 60, 10145
78, 61, 10697
78, 62, 10761
78, 63, 10889
78, 64, 10265
78, 65, 10949
78, 66, 10949
78, 67, 11613
78, 68, 11165
78, 69, 12149
78, 70, 11613
78, 71, 12401
78, 72, 12189
78, 73, 12309
78, 74, 12537
78, 75, 12685
78, 76, 12785
78, 77, 12953
78, 78, 12953
79, 1, 461
79, 2, 561
79, 3, 1125
79, 4, 837
79, 5, 1093
79, 6, 1277
79, 7, 1837
79, 8, 2017
79, 9, 2085
79, 10, 2225
79, 11, 2493
79, 12, 1929
79, 13, 2789
79, 14, 2893
79, 15, 2797
79, 16, 2173
79, 17, 3537
79, 18, 3381
79, 19, 3905
79, 20, 3893
79, 21, 3809
79, 22, 4145
79, 23, 5009
79, 24, 3597
79, 25, 5081
79, 26, 5069
79, 27, 5245
79, 28, 5281
79, 29, 4801
79, 30, 6249
79, 31, 6125
79, 32, 5097
79, 33, 5889
79, 34, 6221
79, 35, 6445
79, 36, 6705
79, 37, 5949
79, 38, 7001
79, 39, 6725
79, 40, 6629
79, 41, 6685
79, 42, 6621
79, 43, 7657
79, 44, 7857
79, 45, 8249
79, 46, 8045
79, 47, 8885
79, 48, 8041
79, 49, 8601
79, 50, 8981
79, 51, 8817
79, 52, 9101
79, 53, 8973
79, 54, 9129
79, 55, 9181
79, 56, 9205
79, 57, 9789
79, 58, 10513
79, 59, 10709
79, 60, 10305
79, 61, 10569
79, 62, 10885
79, 63, 11369
79, 64, 10709
79, 65, 11061
79, 66, 11541
79, 67, 11621
79, 68, 11529
79, 69, 11665
79, 70, 11669
79, 71, 12281
79, 72, 12389
79, 73, 12533
79, 74, 12797
79, 75, 12649
79, 76, 13225
79, 77, 13081
79, 78, 13277
79, 79, 13277
80, 1, 517
80, 2, 705
80, 3, 941
80, 4, 493
80, 5, 1537
80, 6, 1209
80, 7, 1397
80, 8, 1581
80, 9, 2085
80, 10, 2429
80, 11, 2589
80, 12, 2609
80, 13, 2853
80, 14, 3133
80, 15, 2917
80, 16, 2577
80, 17, 3289
