size, dupes, statements
26, 20, 1365
26, 21, 1421
26, 22, 1441
26, 23, 1521
26, 24, 1545
26, 25, 1617
26, 26, 1617
27, 1, 145
27, 2, 341
27, 3, 297
27, 4, 381
27, 5, 333
27, 6, 445
27, 7, 629
27, 8, 645
27, 9, 593
27, 10, 753
27, 11, 813
27, 12, 761
27, 13, 1121
27, 14, 1157
27, 15, 897
27, 16, 1065
27, 17, 1321
27, 18, 1173
27, 19, 1397
27, 20, 1397
27, 21, 1453
27, 22, 1465
27, 23, 1553
27, 24, 1701
27, 25, 1725
27, 26, 1733
27, 27, 1733
28, 1, 205
28, 2, 233
28, 3, 221
28, 4, 341
28, 5, 641
28, 6, 473
28, 7, 545
28, 8, 689
28, 9, 633
28, 10, 833
28, 11, 737
28, 12, 921
28, 13, 845
28, 14, 1033
28, 15, 1177
28, 16, 1081
28, 17, 1137
28, 18, 1201
28, 19, 1345
28, 20, 1385
28, 21, 1449
28, 22, 1517
28, 23, 1493
28, 24, 1585
28, 25, 1669
28, 26, 1809
28, 27, 1853
28, 28, 1853
29, 1, 181
29, 2, 245
29, 3, 405
29, 4, 425
29, 5, 321
29, 6, 617
29, 7, 669
29, 8, 725
29, 9, 713
29, 10, 809
29, 11, 881
29, 12, 1113
29, 13, 893
29, 14, 1173
29, 15, 1021
29, 16, 1365
29, 17, 1173
29, 18, 1321
29, 19, 1489
29, 20, 1385
29, 21, 1661
29, 22, 1533
29, 23, 1661
29, 24, 1661
29, 25, 1853
29, 26, 1805
29, 27, 1889
29, 28, 1977
29, 29, 1977
30, 1, 201
30, 2, 289
30, 3, 381
30, 4, 469
30, 5, 569
30, 6, 469
30, 7, 649
30, 8, 809
30, 9, 773
30, 10, 765
30, 11, 885
30, 12, 857
30, 13, 1029
30, 14, 1081
30, 15, 1049
30, 16, 1257
30, 17, 1397
30, 18, 1561
30, 19, 1469
30, 20, 1565
30, 21, 1561
30, 22, 1597
30, 23, 1629
30, 24, 1709
30, 25, 1881
30, 26, 1925
30, 27, 1965
30, 28, 2049
30, 29, 2105
30, 30, 2105
31, 1, 245
31, 2, 385
31, 3, 413
31, 4, 517
31, 5, 561
31, 6, 513
31, 7, 813
31, 8, 737
31, 9, 889
31, 10, 821
31, 11, 669
31, 12, 1089
31, 13, 1157
31, 14, 1197
31, 15, 1205
31, 16, 1105
31, 17, 1357
31, 18, 1273
31, 19, 1593
31, 20, 1609
31, 21, 1501
31, 22, 1657
31, 23, 1673
31, 24, 1769
31, 25, 1937
31, 26, 1965
31, 27, 2045
31, 28, 2089
31, 29, 2193
31, 30, 2237
31, 31, 2237
32, 1, 169
32, 2, 285
32, 3, 441
32, 4, 417
32, 5, 589
32, 6, 581
32, 7, 521
32, 8, 669
32, 9, 861
32, 10, 885
32, 11, 897
32, 12, 913
32, 13, 1021
32, 14, 1089
32, 15, 1277
32, 16, 1209
32, 17, 1265
32, 18, 1565
32, 19, 1657
32, 20, 1529
32, 21, 1733
32, 22, 1777
32, 23, 1777
32, 24, 1913
32, 25, 2041
32, 26, 2005
32, 27, 2085
32, 28, 2229
32, 29, 2185
32, 30, 2357
32, 31, 2373
32, 32, 2373
33, 1, 233
33, 2, 313
33, 3, 285
33, 4, 641
33, 5, 549
33, 6, 753
33, 7, 597
33, 8, 725
33, 9, 821
33, 10, 1201
33, 11, 889
33, 12, 1145
33, 13, 1201
33, 14, 1313
33, 15, 1265
33, 16, 1293
33, 17, 1177
33, 18, 1441
33, 19, 1557
33, 20, 1561
33, 21, 1605
33, 22, 1945
33, 23, 1953
33, 24, 2069
33, 25, 2165
33, 26, 1981
33, 27, 2153
33, 28, 2337
33, 29, 2269
33, 30, 2453
33, 31, 2401
33, 32, 2513
33, 33, 2513
34, 1, 169
34, 2, 369
34, 3, 361
34, 4, 569
34, 5, 713
34, 6, 625
34, 7, 729
34, 8, 845
34, 9, 761
34, 10, 897
34, 11, 941
34, 12, 1049
34, 13, 1133
34, 14, 1273
34, 15, 1565
34, 16, 1217
34, 17, 1585
34, 18, 1749
34, 19, 1697
34, 20, 1761
34, 21, 1649
34, 22, 1745
34, 23, 1849
34, 24, 2033
34, 25, 2353
34, 26, 2249
34, 27, 2105
34, 28, 2381
34, 29, 2493
34, 30, 2385
34, 31, 2521
34, 32, 2609
34, 33, 2657
34, 34, 2657
35, 1, 221
35, 2, 409
35, 3, 461
35, 4, 541
35, 5, 545
35, 6, 741
35, 7, 593
35, 8, 725
35, 9, 705
35, 10, 1005
35, 11, 941
35, 12, 1113
35, 13, 1197
35, 14, 1177
35, 15, 1357
35, 16, 1257
35, 17, 1381
35, 18, 1249
35, 19, 1793
35, 20, 1881
35, 21, 1857
35, 22, 1809
35, 23, 1801
35, 24, 2125
35, 25, 2149
35, 26, 2281
35, 27, 2313
35, 28, 2445
35, 29, 2473
35, 30, 2417
35, 31, 2557
35, 32, 2713
35, 33, 2677
35, 34, 2805
35, 35, 2805
36, 1, 185
36, 2, 305
36, 3, 369
36, 4, 497
36, 5, 577
36, 6, 489
36, 7, 705
36, 8, 753
36, 9, 693
36, 10, 1049
36, 11, 949
36, 12, 1065
36, 13, 1425
36, 14, 1305
36, 15, 1241
36, 16, 1457
36, 17, 1381
36, 18, 1841
36, 19, 1653
36, 20, 1849
36, 21, 1813
36, 22, 1677
36, 23, 2013
36, 24, 2237
36, 25, 2233
36, 26, 2305
36, 27, 2557
36, 28, 2413
36, 29, 2409
36, 30, 2577
36, 31, 2705
36, 32, 2713
36, 33, 2869
36, 34, 2837
36, 35, 2957
36, 36, 2957
37, 1, 305
37, 2, 373
37, 3, 605
37, 4, 461
37, 5, 861
37, 6, 697
37, 7, 717
37, 8, 877
37, 9, 1145
37, 10, 1293
37, 11, 1229
37, 12, 1077
37, 13, 1169
37, 14, 1473
37, 15, 1325
37, 16, 1437
37, 17, 1445
37, 18, 1633
37, 19, 1533
37, 20, 1937
37, 21, 1561
37, 22, 1769
37, 23, 2273
37, 24, 2117
37, 25, 2069
37, 26, 2053
37, 27, 2693
37, 28, 2637
37, 29, 2561
37, 30, 2689
37, 31, 2709
37, 32, 2801
37, 33, 2805
37, 34, 2997
37, 35, 3101
37, 36, 3113
37, 37, 3113
38, 1, 181
38, 2, 285
38, 3, 457
38, 4, 669
38, 5, 545
38, 6, 693
38, 7, 645
38, 8, 905
38, 9, 1061
38, 10, 1097
38, 11, 1161
38, 12, 1173
38, 13, 1089
38, 14, 1585
38, 15, 1557
38, 16, 1717
38, 17, 1789
38, 18, 1389
38, 19, 1621
38, 20, 1793
38, 21, 1857
38, 22, 1873
38, 23, 2049
38, 24, 2145
38, 25, 2265
38, 26, 2517
38, 27, 2529
38, 28, 2805
38, 29, 2617
38, 30, 2657
38, 31, 2717
38, 32, 2869
38, 33, 2993
38, 34, 3037
38, 35, 3073
38, 36, 3161
38, 37, 3273
38, 38, 3273
39, 1, 309
39, 2, 369
39, 3, 333
39, 4, 533
39, 5, 641
39, 6, 729
39, 7, 881
39, 8, 1021
39, 9, 1217
39, 10, 1173
39, 11, 929
39, 12, 953
39, 13, 1425
39, 14, 1405
39, 15, 1601
39, 16, 1733
39, 17, 1733
39, 18, 1553
39, 19, 1893
39, 20, 2093
39, 21, 2029
39, 22, 2093
39, 23, 2185
39, 24, 2357
39, 25, 2309
39, 26, 2413
39, 27, 2649
39, 28, 2313
39, 29, 2625
39, 30, 2705
39, 31, 2869
39, 32, 2725
39, 33, 2921
39, 34, 3117
39, 35, 3125
39, 36, 3405
39, 37, 3377
39, 38, 3437
39, 39, 3437
40, 1, 209
40, 2, 413
40, 3, 605
40, 4, 429
40, 5, 749
40, 6, 717
40, 7, 561
40, 8, 677
40, 9, 1045
40, 10, 1009
40, 11, 1221
40, 12, 1225
40, 13, 1261
40, 14, 1549
40, 15, 1693
40, 16, 1517
40, 17, 1785
40, 18, 2161
40, 19, 1813
40, 20, 1981
40, 21, 1901
40, 22, 2313
40, 23, 2025
40, 24, 2473
40, 25, 2477
40, 26, 2305
40, 27, 2577
40, 28, 2733
40, 29, 2869
40, 30, 2793
40, 31, 2997
40, 32, 2793
40, 33, 3109
40, 34, 3185
40, 35, 3137
40, 36, 3353
40, 37, 3521
40, 38, 3569
40, 39, 3605
40, 40, 3605
41, 1, 177
41, 2, 425
41, 3, 513
41, 4, 513
41, 5, 801
41, 6, 805
41, 7, 933
41, 8, 889
41, 9, 1053
41, 10, 1141
41, 11, 1169
41, 12, 1581
41, 13, 1209
41, 14, 1385
41, 15, 1525
41, 16, 1525
41, 17, 1961
41, 18, 1777
41, 19, 2001
41, 20, 1913
41, 21, 2045
41, 22, 2113
41, 23, 2429
41, 24, 2277
41, 25, 2361
41, 26, 2561
41, 27, 2585
41, 28, 2837
41, 29, 3037
41, 30, 2677
41, 31, 3213
41, 32, 2997
41, 33, 3153
41, 34, 3101
41, 35, 3277
41, 36, 3289
41, 37, 3517
41, 38, 3641
41, 39, 3637
41, 40, 3777
41, 41, 3777
42, 1, 245
42, 2, 361
42, 3, 521
42, 4, 413
42, 5, 793
42, 6, 553
42, 7, 885
42, 8, 853
42, 9, 1025
42, 10, 1421
42, 11, 937
42, 12, 1109
42, 13, 1381
42, 14, 1553
42, 15, 1653
42, 16, 1521
42, 17, 1773
42, 18, 1845
42, 19, 2041
42, 20, 2073
42, 21, 2145
42, 22, 2253
42, 23, 2465
42, 24, 2189
42, 25, 2417
42, 26, 2661
42, 27, 2549
42, 28, 2713
42, 29, 2925
42, 30, 2769
42, 31, 2861
42, 32, 3229
42, 33, 3461
42, 34, 3425
42, 35, 3321
42, 36, 3441
42, 37, 3629
42, 38, 3749
42, 39, 3829
42, 40, 3861
42, 41, 3953
42, 42, 3953
43, 1, 321
43, 2, 441
43, 3, 417
43, 4, 473
43, 5, 833
43, 6, 805
43, 7, 945
43, 8, 1013
43, 9, 1097
43, 10, 1177
43, 11, 981
43, 12, 1229
43, 13, 1589
43, 14, 1613
43, 15, 1749
43, 16, 1437
43, 17, 1661
43, 18, 2129
43, 19, 2025
43, 20, 2089
43, 21, 2113
43, 22, 2125
43, 23, 2497
43, 24, 2393
43, 25, 2309
